ccode,cname,year,ccodealp,cname_year,ccodealp_year,ccodecow,ccodewb,version,ajr_settmort,al_ethnic,al_language,al_religion,arda_bagenpct,arda_bugenpct,arda_chgenpct,arda_cogenpct,arda_higenpct,arda_isgenpct,arda_jagenpct,arda_jdgenpct,arda_norelpct,arda_otgenpct,arda_shgenpct,arda_sigenpct,arda_sygenpct,arda_tagenpct,arda_zogenpct,bci_bci,biu_girel,biu_offrel,biu_offres,bl_asy25f,bl_asy25m,bl_asy25mf,bl_lh_25mf,bl_lp_25mf,bl_ls_25mf,bl_lu_25mf,bmr_dem,bmr_demdur,ccp_cc,ccp_childwrk,ccp_equal,ccp_freerel,ccp_slave,ccp_strike,chga_demo,ciri_assn,ciri_dommov,ciri_formov,ciri_injud,ciri_physint,ciri_polpris,ciri_relfre_new,ciri_speech,ciri_tort,cpds_enps,cpds_enpv,cpds_la,cpds_lall,cpds_lcom,cpds_lcon,cpds_le,cpds_lfe,cpds_lg,cpds_ll,cpds_lls,cpds_lmo,cpds_lnl,cpds_lo,cpds_lp,cpds_lpc,cpds_lpen,cpds_lper,cpds_lr,cpds_lreg,cpds_lrel,cpds_ls,cpds_tg,cpds_vt,cspf_sfi,cspv_civviol,cspv_civwar,cspv_ethviol,cspv_ethwar,cspv_intviol,cspv_intwar,diat_ti,dpi_cemo,dpi_checks,dpi_cl,dpi_dhondt,dpi_gf,dpi_gprlc1,dpi_gpvs1,dpi_gvs,dpi_plurality,dpi_polariz,dpi_pr,dpi_pvfr,dpi_system,dpi_tf,dpi_thresh,dpi_vslop1,dr_eg,dr_ig,el_gunn1,ffp_ext,ffp_fsi,ffp_hf,ffp_hr,ffp_ps,ffp_ref,ffp_sec,ffp_sl,ffp_ued,fh_aor,fh_cl,fh_ep,fh_feb,fh_fog,fh_ipolity2,fh_pair,fh_pr,fh_rol,fh_status,fi_ftradeint,fi_index,gd_ptsa,gle_cgdpc,gle_exp,gle_gdp,gle_imp,gle_pop,gle_rgdpc,gle_trade,gol_enep,gol_est,gol_est_spec,gol_pr,gwf_regimetype,h_j,hf_efiscore,hf_financ,hf_invest,hf_labor,hf_prights,ht_colonial,ht_region,ht_regtype,ht_regtype1,iaep_bp,iaep_cc,iaep_epmf,iaep_es,iaep_osp,iaep_ufs,icrg_qog,ictd_rev,ihme_drbs,ihme_drf,ihme_drm,iiag_be,iiag_edu,iiag_gov,iiag_hd,iiag_he,iiag_inf,iiag_ns,iiag_phr,iiag_rol,iiag_srol,iiag_wel,imf_gdpc,imf_gdpcppp,imf_gdpgr,imf_infl,imf_inflch,imf_inv,imf_nd,imf_nlb,imf_pop,imf_rev,imf_ue,ipu_l_sw,jw_bicameral,lp_lat_abst,lp_legor,mad_gdppc,mad_gdppc1900,nelda_mbbe,nelda_mtop,nelda_oa,nelda_rpae,no_ef,p_autoc,p_democ,p_durable,p_fragment,p_polity2,p_xconst,pwt_hci,pwt_pop,ross_gas_value_2014,ross_oil_value_2014,rsf_pfi,sc_pcov,sc_penagef,sc_penagem,sc_pgen,sc_sickcov,sc_sickdur,sc_skgen,sc_tgen,sc_uecov,sc_uegen,shec_se,ti_cpi,top_top10_income_share,top_top1_income_share,undp_hdi,unna_pop,van_index,vdem_corr,vdem_delibdem,vdem_egaldem,vdem_gender,vdem_libdem,vdem_mecorrpt,vdem_partipdem,vdem_polyarchy,vi_rsg,vi_rsm,vi_udr,vi_wcoord,voh_gti,wbgi_cce,wbgi_gee,wbgi_pve,wbgi_rle,wdi_acel,wdi_acelr,wdi_acelu,wdi_afp,wdi_agedr,wdi_ane,wdi_araland,wdi_area,wdi_armexp,wdi_armimp,wdi_broadb,wdi_co2,wdi_debt,wdi_eduprp,wdi_eduprs,wdi_elerenew,wdi_elprodcoal,wdi_elprodgas,wdi_elprodhyd,wdi_elprodnuc,wdi_elprodoil,wdi_emp,wdi_empagr,wdi_empagrf,wdi_empagrm,wdi_empind,wdi_empindf,wdi_empindm,wdi_empser,wdi_empserf,wdi_empserm,wdi_eneimp,wdi_expedu,wdi_expeduge,wdi_expedup,wdi_expedus,wdi_expedut,wdi_exph,wdi_exphpr,wdi_exphpu,wdi_expmil,wdi_fdiin,wdi_fdiout,wdi_forest,wdi_fossil,wdi_gdpagr,wdi_gdpcapcon2010,wdi_gdpcappppcon2011,wdi_gdpind,wdi_gdpser,wdi_gerp,wdi_gerpp,wdi_gers,wdi_gert,wdi_homicides,wdi_internet,wdi_lfpf,wdi_lifexp,wdi_lifexpf,wdi_lifexpm,wdi_pop14,wdi_pop1564,wdi_pop65,wdi_popden,wdi_poprul,wdi_popurb,wdi_refasy,wdi_refori,wdi_semp,wdi_spr,wdi_tacpsr,wdi_taxrev,wdi_tele,wdi_trade,wdi_unempfilo,wdi_unempilo,wdi_unempmilo,wdi_unempyfilo,wdi_unempyilo,wdi_unempymilo,wdi_wip,wef_bct,wef_ci,wef_ct,wef_dtsb,wef_elec,wef_gci,wef_ias,wef_imort,wef_mobile,wef_oc,wef_pr,wef_ptp,wef_ptsb,wef_qes,wef_qoi,wef_qpe,wef_qsri,wef_wlf,who_alc1979,who_alc1999,who_alc2000,wr_regtype
4,"Afghanistan",1946,"AFG","Afghanistan 1946","AFG46",700,4,"QoGBasTSJan18",4.5400982,.7693445845406846,.6141462,.2716839,,,,,,,,,,,,,,,,,,,,,,,,,,,0,147,2,2,1,1,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.3666667,2,,,,,,,,10,0,,,-10,1,,,,,,,,,,,,,,,,,,,,,,0,.469925334408837,.0211881185171939,.0726889274605169,.1623256290973,.0836731941568811,.7012738776147466,.0429480861245941,.095079094910132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
4,"Afghanistan",1947,"AFG","Afghanistan 1947","AFG47",700,4,"QoGBasTSJan18",4.5400982,.7693445845406846,.6141462,.2716839,,,,,,,,,,,,,,,,,,,,,,,,,,,0,148,2,2,1,1,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.3666667,2,,,,,,,,10,0,,,-10,1,,,,,,,,,,,,,,,,,,,,,,0,.469925334408837,.0214146032158888,.0727718161434735,.1623256290973,.0837842695200565,.7012738776147466,.0430332023449442,.0956520183240543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
4,"Afghanistan",1948,"AFG","Afghanistan 1948","AFG48",700,4,"QoGBasTSJan18",4.5400982,.7693445845406846,.6141462,.2716839,,,,,,,,,,,,,,,,,,,,,,,,,,,0,149,2,2,1,1,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.17,,20.67,,,20.84,,,,,1,,,,,,,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.3666667,2,,,,,,,,10,0,,,-10,1,,,,,,,,,,,,,,,,,,,,,,0,.469925334408837,.0214146032158888,.0719471074232217,.1623256290973,.0837842695200565,.7012738776147466,.0441909031610087,.0956520183240543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
4,"Afghanistan",1949,"AFG","Afghanistan 1949","AFG49",700,4,"QoGBasTSJan18",4.5400982,.7693445845406846,.6141462,.2716839,,,,,,,,,,,,,,,,,,,,,,,,,,,0,150,2,2,1,1,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.34,,20.84,,,21.18,,,,,1,,,,,,,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.3666667,2,,,1,0,0,0,,10,0,,,-10,1,,,,,,,,,,,,,,,,,,,,,,0,.469925334408837,.0227780507526135,.0729882533049647,.1623256290973,.0848350811962019,.7012738776147466,.0451067229993763,.102202656975993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
4,"Afghanistan",1950,"AFG","Afghanistan 1950","AFG50",700,4,"QoGBasTSJan18",4.5400982,.7693445845406846,.6141462,.2716839,0,.0002,.0001,0,.0009,.9947,0,.0001,0,.0017,0,.0002,0,0,.0003,,,,,.016424933,.22836438,.12653126,.32512715,1.6879934,.198726,97.788155,0,151,2,2,1,1,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.82001,.34,7995.7798,27,8958,892.59003,27.35,,,,,1,,,,,,,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.3666667,2,644.75616,,,,,,,10,0,,,-10,1,,,,,,,,,,,,,,,,,,,,,,0,.469925334408837,.0236841919327976,.0752335971047068,.1623256290973,.0844782440720248,.7012738776147466,.0468745652403042,.105529701508588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
4,"Afghanistan",1951,"AFG","Afghanistan 1951","AFG51",700,4,"QoGBasTSJan18",4.5400982,.7693445845406846,.6141462,.2716839,,,,,,,,,,,,,,,,,,,,,,,,,,,0,152,2,2,1,1,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.98,.76999998,8216.9502,27.75,9093,903.65997,28.52,,,,,1,,,,,,,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.3666667,2,652.78748,,,,,,,10,0,,,-10,1,,,,,,,,,,,,,,,,,,,,,,0,.469925334408837,.0236841919327976,.0752335971047068,.1623256290973,.0840014476726243,.7012738776147466,.0468745652403042,.105529701508588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
4,"Afghanistan",1952,"AFG","Afghanistan 1952","AFG52",700,4,"QoGBasTSJan18",4.5400982,.7693445845406846,.6141462,.2716839,,,,,,,,,,,,,,,,,,,,,,,,,,,0,153,2,2,1,1,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.86,.37,8488.5996,27.93,9238,918.88,28.309999,,,,,1,,,,,,,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.3666667,2,663.59393,,1,0,0,3,,10,0,,,-10,1,,,,,,,,,,,,,,,,,,,,,,0,.469925334408837,.0212672174458802,.0748982323244239,.1623256290973,.0837383727916144,.7012738776147466,.0454486908754325,.0950007334997308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
4,"Afghanistan",1953,"AFG","Afghanistan 1953","AFG53",700,4,"QoGBasTSJan18",4.5400982,.7693445845406846,.6141462,.2716839,,,,,,,,,,,,,,,,,,,,,,,,,,,0,154,2,2,1,1,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.89,.38,8994.9805,30.67,9393,957.63,31.049999,,,,,1,,,,,,,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.3666667,2,692.03894,,,,,,,10,0,,,-10,1,,,,,,,,,,,,,,,,,,,,,,0,.469925334408837,.0205850345455954,.0753829211190743,.1623256290973,.0832157692908801,.7012738776147466,.0449905493351329,.0916665297922067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
4,"Afghanistan",1954,"AFG","Afghanistan 1954","AFG54",700,4,"QoGBasTSJan18",4.5400982,.7693445845406846,.6141462,.2716839,,,,,,,,,,,,,,,,,,,,,,,,,,,0,155,2,2,1,1,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.75999,.38,9179.4502,42.700001,9558,960.39001,43.09,,,,,1,,,,,,,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.3666667,2,694.1701,,,,,,,10,0,,,-10,1,,,,,,,,,,,,,,,,,,,,,,0,.469273102239334,.0191251772031451,.0745784435344774,.1623256290973,.080088359489155,.7012738776147466,.0442781899164505,.0858429421085884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
4,"Afghanistan",1955,"AFG","Afghanistan 1955","AFG55",700,4,"QoGBasTSJan18",4.5400982,.7693445845406846,.6141462,.2716839,0,.0003,.0002,0,.0017,.9922,0,0,0,.0033,0,.0002,0,0,.0003,,,,,.02122454,.32368135,.17824188,.46656942,2.2488472,.30360699,96.98098,0,156,2,2,1,1,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.66,14.39,9361.9502,51.860001,9734,961.78003,66.25,,,,,1,,,,,,,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.3666667,2,695.0686,,1,0,0,3,,10,0,,,-10,1,,,,,,,,,,,,,,,,,,,,,,0,.469273102239334,.0195003931976887,.0763998339719484,.154173053150597,.0801343056321595,.7012738776147466,.0443505315645301,.0865011202828254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
